paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
CAPE-AN vs. CAPE-A,7.983177674977249E-4,0.6666666666666666,large,-0.785266170637843,large
CAPE-AN vs. CAPE-N,0.02943933829707812,0.5294117647058824,large,-0.5223935684606854,large
