paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
CAPE-AN vs. CAPE-A,4.939269806847335E-4,0.8888888888888888,large,-0.8160609224275623,large
CAPE-AN vs. CAPE-N,0.20660344266812514,0.3333333333333333,medium,-0.29255014200233365,small
