paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) ,,Wilcoxon p,,Cliff's delta
CAPE vs. a-index,1.8015638819446345E-4,1,large,-0.877650426,large,,0.0002 ,,1.0000 
CAPE vs. PageRank_BR,0.001476944027817062,0.5555555555555556,large,-0.744206502,large,,0.0015 ,,0.5556 
CAPE vs. PageRank,0.001476944027817062,0.5555555555555556,large,-0.744206502,large,,0.0015 ,,0.5556 
CAPE vs. g-core,0.007893966398888841,0.4444444444444444,medium,-0.621027494,large,,0.0079 ,,0.4444 
CAPE vs. h-index,0.029441956565135374,0.4444444444444444,medium,-0.508113405,large,,0.0294 ,,0.4444 
CAPE vs. k-core,0.013051158067514335,0.5555555555555556,large,-0.579967825,large,,0.0131 ,,0.5556 
CAPE vs. PageRank_IVOL,0.0019876245658718705,0.6666666666666666,large,-0.723676667,large,,0.0020 ,,0.6667 
CAPE vs. ElementRank,0.013051158067514335,0.4444444444444444,medium,-0.579967825,large,,0.0131 ,,0.4444 
CAPE vs. Pride,0.01868687550484749,0.3333333333333333,medium,-0.549173074,large,,0.0187 ,,0.3333 
